id,artist,websiteLink,imgLink,height,width,units,low-estimate,high-estimate,currency,info,guessed-year,guessed-signed,guessed-title,guessed-paintingType,guessed-height,guessed-width,guessed-units
579ae6f7-d538-4bdd-a8ee-f5cd2345b962,Sionah Tagger,https://www.tiroche.co.il/auction/158-en/lot-619-sionah-tagger/,https://bidspirit-images.global.ssl.fastly.net/tiroche/cloned-images/auction_86_lots_import_0_619/1/a_ignore_q_80_w_1000_c_limit_1.jpg,,,,300,500,$,,,,,,,,
f85f5a61-c92d-4362-9847-4edd62de78d0,"Sionah Tagger 
",https://www.tiroche.co.il/auction/154-en/lot-574-sionah-tagger/,https://bidspirit-images.global.ssl.fastly.net/tiroche/cloned-images/54827/002/a_ignore_q_80_w_1000_c_limit_002.jpg,,,,400,600,$,"Gate in Safed, 1936,
 Charcoal in paper, 49X36 cm.
 Signed and dated.
 Literature: Ziona Tager, retrospective, Tel Aviv Museum of Art, Carmela Rubin, p. 115 (illustrated).",1936, 115 (illustrated),Gate in Safed 1936 Charcoal in paper 49X36 cm. Signed and dated. Literature: Ziona Tager retrospective Tel Aviv Museum of Art, Carmela Rubin,,,
d473ce3d-4692-45ce-a180-bec2131b9dd2,Sionah Tagger,https://www.tiroche.co.il/auction/262-israeli-international-art-en/lot-324-sionah-tagger/,https://bidspirit-images.global.ssl.fastly.net/tiroche/cloned-images/90930/002/a_ignore_q_80_w_1000_c_limit_002.jpg,,,,500,800,$,"Fire,
Oil and mixed media on glass. 37X46 cm.
Signed.",,",Signed",,Fire,,,
a789f3b6-117c-4906-8147-4ae212d6b26a,Sionah Tagger,https://www.tiroche.co.il/auction/180-en/lot-585-88/,https://bidspirit-images.global.ssl.fastly.net/tiroche/cloned-images/83443/001/a_ignore_q_80_w_1000_c_limit_001.jpg,,,,800,1200,$,"2 Women, 1924,
Charcoal on paper, 24X30 cm,
Signed, dated and titled Academy Andre Lot, Paris.
Exhibition: Ziona Tager, Retrospective, The Open Museum in Tefen, April 1990.",1924,",Exhibition: Ziona Tager, Retrospective, The Open Museum in Tefen, April 1990",2 Women 1924Charcoal on paper 24X30 cmSigned, dated and titled Academy Andre Lot,,,
54a8124a-c6f2-4d90-bb4f-64ea124c95b1,Sionah Tagger,https://www.tiroche.co.il/auction/170-en/lot-380-63/,https://bidspirit-images.global.ssl.fastly.net/tiroche/cloned-images/72739/1/a_ignore_q_80_w_1000_c_limit_1.jpg,,,,500,700,$,,,,,,,,
5b4bbc91-9c1c-409b-85e5-85a67d84d02c,"Sionah Tagger 
",https://www.tiroche.co.il/auction/154-en/lot-15-sionah-tagger/,https://bidspirit-images.global.ssl.fastly.net/tiroche/cloned-images/54274/002/a_ignore_q_80_w_1000_c_limit_002.jpg,,,,2500,3500,$,"Electric Pole in Safed, 1967,
 Oil on canvas, 73X54 cm. Signed.
 Depicted and dated on the reverse.",1967,", Depicted and dated on the reverse",Electric Pole in Safed 1967, Oil on canvas,73,54.,cmSigned
51d4b9cc-2834-4ae6-9f29-78394ad57e59,Sionah Tagger,https://www.tiroche.co.il/auction/172-en/lot-218-140/,https://bidspirit-images.global.ssl.fastly.net/tiroche/cloned-images/74806/001/a_ignore_q_80_w_1000_c_limit_001.jpg,,,,4000,6000,$,"Before the Kapparot, 1969-77, Oil on canvas,  66×50 cm. Signed.  Dated and titled on the reverse.",1969,  Dated and titled on the reverse,Before the Kapparot 1969-77, Oil on canvas,66,50.,cmSigned
18a6ffcf-f59c-4615-a758-f0b4d7bc3e0b,Sionah Tagger,https://www.tiroche.co.il/auction/176-en/lot-399-76/,https://bidspirit-images.global.ssl.fastly.net/tiroche/cloned-images/78960/001/a_ignore_q_80_w_1000_c_limit_001.jpg,,,,300,500,$,"Interior Room, 1938, Pastel on paper, 28X22 cm. Signed and dated.",1938, Signed and dated,Interior Room 1938, Pastel on paper,28,22,cm
13577801-3969-4f67-b47f-959afb6ffded,Sionah Tagger,https://www.tiroche.co.il/auction/67-en/lot-7-171/,https://bidspirit-images.global.ssl.fastly.net/tiroche/cloned-images/77363/001/a_ignore_q_80_w_1000_c_limit_001.jpg,,,,300,500,$,"The Yarkon River, watercolor on paper, 32X47 cm. Signed.",, Signed,The Yarkon River, watercolor on paper,32,47,cm
b10d684c-77e0-4c8d-9c2d-42b2539ba346,Sionah Tagger,https://www.tiroche.co.il/auction/180-en/lot-8-110/,https://bidspirit-images.global.ssl.fastly.net/tiroche/cloned-images/82868/001/a_ignore_q_80_w_1000_c_limit_001.jpg,,,,2500,3500,$,"Beit Abba Alley in Jerusalem, Misgav Ladach St. 1978, 
Oil on canvas, 72X53 cm.
Signed. Signed, dated and titled the reverse.",1978," Signed, dated and titled the reverse",Beit Abba Alley in Jerusalem Misgav Ladach St. 1978Oil on canvas, 72X53 cm.,,,
06c67062-7d68-46be-9d9e-5698f4aec65c,Sionah Tagger,https://www.tiroche.co.il/auction/170-en/lot-217-93/,https://bidspirit-images.global.ssl.fastly.net/tiroche/cloned-images/72613/1/a_ignore_q_80_w_1000_c_limit_1.jpg,,,,2000,3000,$,,,,,,,,
08c0c701-ac54-44f9-aea2-ed2a526dbd52,Sionah Tagger,https://www.tiroche.co.il/auction/46-en/lot-11-195/,https://bidspirit-images.global.ssl.fastly.net/tiroche/cloned-images/73231/001/a_ignore_q_80_w_1000_c_limit_001.jpg,,,,400,600,$,"Flowers, watercolor on paper, 48×36 cm. Signed.",, Signed,Flowers, watercolor on paper,48,36,cm
67c10874-0de7-4532-8d42-967cdb9522cd,Sionah Tagger,https://www.tiroche.co.il/auction/176-en/lot-452-84/,https://bidspirit-images.global.ssl.fastly.net/tiroche/cloned-images/79013/001/a_ignore_q_80_w_1000_c_limit_001.jpg,,,,300,500,$,"A Galilee Landscape, 1934, Watercolor on paper, 42X32 cm. Signed and dated.",1934, Signed and dated,A Galilee Landscape 1934, Watercolor on paper,42,32,cm
7cef3182-e361-4c65-8fbe-de742ef49f61,Sionah Tagger,https://www.tiroche.co.il/auction/308-en/lot-6-sionah-tagger/,https://bidspirit-images.global.ssl.fastly.net/tiroche/cloned-images/85952/001/a_ignore_q_80_w_1000_c_limit_001.jpg,,,,3000,5000,$,"Chariot, mixed media on glass, 50X80 cm, Signed.",,,Chariot mixed media on glass, 50X80 cm,,,
66423940-bcb2-4ce8-a18e-7d7af2f91cf9,Sionah Tagger,https://www.tiroche.co.il/auction/170-en/lot-377-63/,https://bidspirit-images.global.ssl.fastly.net/tiroche/cloned-images/72736/1/a_ignore_q_80_w_1000_c_limit_1.jpg,,,,400,600,$,,,,,,,,
595273ca-5d53-47a1-b004-a00fbd41869f,Sionah Tagger,https://www.tiroche.co.il/auction/176-en/lot-437-94/,https://bidspirit-images.global.ssl.fastly.net/tiroche/cloned-images/78998/001/a_ignore_q_80_w_1000_c_limit_001.jpg,,,,600,900,$,"Ein Kerem, 1962, Watercolor on paper, 50X70 cm. Signed and dated.",1962, Signed and dated,Ein Kerem 1962, Watercolor on paper,50,70,cm
37896883-e63a-47fe-8d20-22db3478a39b,"Sionah Tagger 
",https://www.tiroche.co.il/auction/160-en/lot-671-sionah-tagger/,https://bidspirit-images.global.ssl.fastly.net/tiroche/cloned-images/61593/001/a_ignore_q_80_w_1000_c_limit_001.jpg,,,,300,500,$,,,,,,,,
fcd60537-2882-4503-a73a-3fb6bb1ec26f,Sionah Tagger,https://www.tiroche.co.il/auction/59-en/lot-8-183/,https://bidspirit-images.global.ssl.fastly.net/tiroche/cloned-images/76369/001/a_ignore_q_80_w_1000_c_limit_001.jpg,,,,300,400,$,"Landscape, pastel on paper, 33×49 cm. Signed.",, Signed,Landscape, pastel on paper,33,49,cm
23aa0efe-dd95-4a28-82fb-a78c8574b522,Sionah Tagger,https://www.tiroche.co.il/auction/174-en/lot-10-325/,https://bidspirit-images.global.ssl.fastly.net/tiroche/cloned-images/76592/002/a_ignore_q_80_w_1000_c_limit_002.jpg,,,,4000,6000,$,"Guards near the Sea of Galilee, 1950, Oil on canvas, 54X65 cm. Signed. Signed and dated on the reverse. Provenance: The Honigman Family Collection.",1950, Provenance: The Honigman Family Collection,Guards near the Sea of Galilee 1950, Oil on canvas,54,65..,cmSignedSignedanddatedonthereverse
5b575f91-34d6-4c48-8b89-799a8ab233b0,"Sionah Tagger 
",https://www.tiroche.co.il/auction/160-en/lot-640-sionah-tagger/,https://bidspirit-images.global.ssl.fastly.net/tiroche/cloned-images/61562/001/a_ignore_q_80_w_1000_c_limit_001.jpg,,,,1000,1500,$,"Untitled,
 Mixed media on glass,
 49×64 cm, .
 Signed.",,", Signed",Untitled Mixed media on glass, 49×64 cm,,,
bf34d1e8-2958-46a3-ab9e-8c27b61567eb,"Sionah Tagger 
",https://www.tiroche.co.il/auction/162-en/lot-344-sionah-tagger/,https://bidspirit-images.global.ssl.fastly.net/tiroche/cloned-images/63264/001/a_ignore_q_80_w_1000_c_limit_001.jpg,,,,500,700,$,"Back Yard,
 Charcoal on paper,
 50×33 cm.
 Signed.",,", Signed",Back Yard, Charcoal on paper,50,33,cm
a365a7ee-d237-45c4-bdaf-8ebc5b6a2716,Sionah Tagger,https://www.tiroche.co.il/auction/170-en/lot-372-65/,https://bidspirit-images.global.ssl.fastly.net/tiroche/cloned-images/72731/1/a_ignore_q_80_w_1000_c_limit_1.jpg,,,,250,350,$, Provenance: Gaby and Ami Brown Collection. ,, ,,,,,
378fbf17-f732-4fc9-94e5-dfe69e20c84c,Sionah Tagger,https://www.tiroche.co.il/auction/158-en/lot-620-sionah-tagger/,https://bidspirit-images.global.ssl.fastly.net/tiroche/cloned-images/auction_86_lots_import_0_620/1/a_ignore_q_80_w_1000_c_limit_1.jpg,,,,400,600,$,,,,,,,,
343052e6-1b11-47f5-9378-ee5d4cfba4bb,Sionah Tagger,https://www.tiroche.co.il/auction/168-en/lot-718-87/,https://bidspirit-images.global.ssl.fastly.net/tiroche/cloned-images/70043/4/a_ignore_q_80_w_1000_c_limit_4.jpg,,,,500,700,$,,,,,,,,
89d5241e-0668-4e61-8515-5658d0efdc59,Sionah Tagger,https://www.tiroche.co.il/auction/168-en/lot-762-79/,https://bidspirit-images.global.ssl.fastly.net/tiroche/cloned-images/70087/4/a_ignore_q_80_w_1000_c_limit_4.jpg,,,,300,500,$,,,,,,,,
74d2bb07-1e7c-4412-aaed-915dffdd0f7d,Sionah Tagger,https://www.tiroche.co.il/auction/168-en/lot-719-87/,https://bidspirit-images.global.ssl.fastly.net/tiroche/cloned-images/70044/4/a_ignore_q_80_w_1000_c_limit_4.jpg,,,,400,600,$,,,,,,,,
4dc1c724-7e6b-46d9-8135-adb66976f9e5,Sionah Tagger,https://www.tiroche.co.il/auction/auction-152-eng/lot-670-2/,https://www.tiroche.co.il/wp-content/uploads/2021/04/607eaf1b0d7a8_1520670.jpg,,,,400,600,$,"St. Harry Synagogue in Zefat,  Watercolor on paper, 26X20 cm  Signed.",," Harry Synagogue in Zefat,  Watercolor on paper, 26X20 cm  Signed",,,,,
2dc3791d-0f97-4a32-953e-ef5ae5d5779b,Sionah Tagger,https://www.tiroche.co.il/auction/auction-148-eng/lot-720-6/,https://www.tiroche.co.il/wp-content/uploads/2021/04/607ebce5a277b_1480720.jpg,,,,300,400,$,"Commander in camp,   Pencil and charcoal on paper,   21X28 cm,   Signed and dated. ",, ,Commander in camp   Pencil and charcoal on paper,   21X28 cm,,,
5553f794-36b8-42ee-a73c-30c06524345e,Sionah Tagger,https://www.tiroche.co.il/auction/36-en/lot-26-222/,https://bidspirit-images.global.ssl.fastly.net/tiroche/cloned-images/69400/1/a_ignore_q_80_w_1000_c_limit_1.jpg,,,,200,300,$,"Boats, charcoal on paper, 33X22 cm. Signed.",, Signed,Boats, charcoal on paper,33,22,cm
d4bd8ab1-7283-47e6-a7cc-8307c7645555,Sionah Tagger,https://www.tiroche.co.il/auction/auction-144-eng/lot-773-12/,https://www.tiroche.co.il/wp-content/uploads/2021/04/607ece77646d6_1440773.jpg,,,,1000,1500,$,"Galilee Landscape,  Watercolor on paper, 45X61 cm.  Signed.",,  Signed,Galilee Landscape,  Watercolor on paper,45,61,cm
270e3062-9d6b-45b0-a315-58ccaa9bdccf,Sionah Tagger,https://www.tiroche.co.il/auction/auction-146-eng/lot-15-16/,https://www.tiroche.co.il/wp-content/uploads/2021/04/607ec2e946915_1460015.jpg,,,,4000,6000,$,"Galilee Landscape, 1967,  Oil on canvas, 50X65 cm.  Signed and dated.  ",1967,  ,Galilee Landscape 1967,  Oil on canvas,50,65.,cmSignedanddated
f633f7f3-18ae-48da-a371-24989ae85e32,Sionah Tagger,https://www.tiroche.co.il/auction/auction-144-eng/lot-635-16/,https://www.tiroche.co.il/wp-content/uploads/2021/04/607ecda488a3b_1440635.jpg,,,,300,500,$,"Nahal Oz, 1953,  Charcoal on paper, 23X33 cm.  Signed and dated.    Provenance: Arie Sabinski collection.  ",1953,  ,Nahal Oz 1953,  Charcoal on paper,23,33..,cmSignedanddatedProvenanceArieSabinskicollection
81012c70-e517-449a-a53b-2b95aaa0b758,Sionah Tagger,https://www.tiroche.co.il/auction/auction-142-eng/lot-44-20/,https://www.tiroche.co.il/wp-content/uploads/2021/04/607ed4dcd1a71_1420044.jpg,,,,4000,6000,$,"Jaffa View from a Balcony,  Oil on canvas, 80X60 cm.  Signed and described.    Provenance: Gaby and Ami Brown collection.",,    Provenance: Gaby and Ami Brown collection,Jaffa View from a Balcony,  Oil on canvas,80,60.,cmSignedanddescribed
9a4c25e0-1ea9-4c23-9a11-1c0fe3da4e25,Sionah Tagger,https://www.tiroche.co.il/auction/auction-152-eng/lot-462-2/,https://www.tiroche.co.il/wp-content/uploads/2021/04/607eae1d15426_1520462.jpg,,,,200,300,$,"Nahal Oz, 1985,  Sepia on paper, 26X34 cm,  Signed and dated.",1985,,Nahal Oz 1985  Sepia on paper, 26X34 cm,,,
f18e08ae-5b88-404b-b3dc-abe18e75d60b,Sionah Tagger,https://www.tiroche.co.il/auction/auction-142-eng/lot-43-20/,https://www.tiroche.co.il/wp-content/uploads/2021/04/607ed4d8f414e_1420043.jpg,,,,700,1000,$,"Pink House in Jaffa, 1935,  Watercolor on paper, 50.5X36 cm.  Signed and dated.    Provenance: Gaby and Ami Brown collection.    Exhibition & Literature: Sionah Tagger – Retrospective, Tel Aviv Museum of Art, Carmela Rubin, October 2003 – January 2004, P. 94 (Illustrated).",1935, 94 (Illustrated),Pink House in Jaffa 1935  Watercolor on paper 50.5X36 cm.  Signed and dated.    Provenance: Gaby and Ami Brown collection.    Exhibition & Literature: Sionah Tagger – Retrospective Tel Aviv Museum of Art Carmela Rubin, October 2003 – January 2004,,,
5e898cae-025a-4c77-8d4b-1d4cdbd69aaa,Sionah Tagger ,https://www.tiroche.co.il/auction/auction-136-eng/lot-283-32/,https://www.tiroche.co.il/wp-content/uploads/2021/04/607f0223c0f86_1360283.jpg,,,,3000,4000,$,"1900 – 1988  Children in the Yard,  Oil on canvas, 55X38 cm.  Signed.     ",1900,     ,1900 – 1988  Children in the Yard,  Oil on canvas,55,38.,cmSigned
555b4430-32eb-4a5d-ba54-a81ea4c1055b,Sionah Tagger ,https://www.tiroche.co.il/auction/auction-136-eng/lot-282-32/,https://www.tiroche.co.il/wp-content/uploads/2021/04/607f02202eb9b_1360282.jpg,,,,5000,7000,$,"1900 -1988  Nahal Oz Landscape,   Oil on canvas, 38X46 cm.  Signed.  ",1900,  ,1900 -1988  Nahal Oz Landscape,   Oil on canvas,38,46.,cmSigned
90445a3f-ddda-440d-87e7-eadd5d30b497,Sionah Tagger,https://www.tiroche.co.il/auction/auction-142-eng/lot-446-12/,https://www.tiroche.co.il/wp-content/uploads/2021/04/607ed61d941ae_1420446.jpg,,,,500,800,$,"Safed,  Watercolor on paper, 35X50 cm.  Signed    Provenance: Gaby and Ami Brown collection.",,  Signed    Provenance: Gaby and Ami Brown collection,Safed,  Watercolor on paper,35,50,cm
97667ae6-667b-45ec-a8e7-0faaf1b0f440,Sionah Tagger ,https://www.tiroche.co.il/auction/auction-136-eng/lot-47-32/,https://www.tiroche.co.il/wp-content/uploads/2021/04/607f0056e7a34_1360047.jpg,,,,3000,4000,$,"1900 – 1988  Young Girl on the Beach, 1918,  Oil on cardboard, 18X26 cm.  Signed and dated.    Exhibition: Sionah Tagger, Retrospective, Tel-Aviv Museum of Art, October 2003.    Provenance: The Israeli Phoenix Collection ",1900,    Provenance: The Israeli Phoenix Collection ,1900 – 1988  Young Girl on the Beach 1918  Oil on cardboard 18X26 cm.  Signed and dated.    Exhibition: Sionah Tagger Retrospective, Tel-Aviv Museum of Art,,,
8bb82360-325e-46ee-a51a-bb82d2059caf,Sionah Tagger,https://www.tiroche.co.il/auction/168-en/lot-15-220/,https://bidspirit-images.global.ssl.fastly.net/tiroche/cloned-images/69431/4/a_ignore_q_80_w_1000_c_limit_4.jpg,,,,2000,3000,$,,,,,,,,
c8ca30ec-909f-41fc-b7b4-15b66d574b26,Sionah Tagger,https://www.tiroche.co.il/auction/auction-146-eng/lot-520-12/,https://www.tiroche.co.il/wp-content/uploads/2021/04/607ec526d4cba_1460520.jpg,,,,500,700,$,"Landscape,   Watercolor on paper, 34×48 cm,  Signed.     ",,     ,Landscape   Watercolor on paper, 34×48 cm,,,
1c9bc77e-c846-46da-92c2-e1f31452fb61,Sionah Tagger,https://www.tiroche.co.il/auction/auction-148-eng/lot-612-8/,https://www.tiroche.co.il/wp-content/uploads/2021/04/607ebc57e2f18_1480612.jpg,,,,400,600,$,"Three Figures,   Watercolor on paper laid down on canvas, 49×34 cm,   Signed. ",, ,Three Figures   Watercolor on paper laid down on canvas, 49×34 cm,,,
571c76fc-2214-4ff7-96ea-3ffcea0e908a,Sionah Tagger,https://www.tiroche.co.il/auction/168-en/lot-11-219/,https://bidspirit-images.global.ssl.fastly.net/tiroche/cloned-images/69427/4/a_ignore_q_80_w_1000_c_limit_4.jpg,,,,3500,5000,$,,,,,,,,
f8dfa27a-b81c-4512-8b0f-1ed0ffaf93f1,Sionah Tagger ,https://www.tiroche.co.il/auction/auction-136-eng/lot-56-32/,https://www.tiroche.co.il/wp-content/uploads/2021/04/607f0041ad7c5_1360056.jpg,,,,20000,25000,$,"1900-1988  Celebration at Jaffa,  Oil on canvas, 65X54 cm.  Signed.  ",1900,  ,1900-1988  Celebration at Jaffa,  Oil on canvas,65,54.,cmSigned
64ed8f6a-aad4-46dd-940a-f69a1fc94cbd,Sionah Tagger,https://www.tiroche.co.il/auction/auction-146-eng/lot-306-14/,https://www.tiroche.co.il/wp-content/uploads/2021/04/607ec450de826_1460306.jpg,,,,200,300,$,"Jaffa Port, 1948,  Charcoal and pencil on paper, 35×30 cm.  Signed, titled and dated.     Provenance: Gaby and Ami Brown collection.",1948,     Provenance: Gaby and Ami Brown collection,Jaffa Port 1948  Charcoal and pencil on paper, 35×30 cm.  Signed,,,
50f7d00c-b499-4830-9b14-be250f7e2714,Sionah Tagger,https://www.tiroche.co.il/auction/auction-146-eng/lot-21-14/,https://www.tiroche.co.il/wp-content/uploads/2021/04/607ec2f76e244_1460021.jpg,,,,1200,1600,$,"Still Life,  Oil on canvas, 28X33 cm.  Signed.  ",,  ,Still Life,  Oil on canvas,28,33.,cmSigned
c2cad2ce-1447-40a6-b091-db2135f64d39,Sionah Tagger,https://www.tiroche.co.il/auction/auction-142-eng/lot-629-20/,https://www.tiroche.co.il/wp-content/uploads/2021/04/607ed74a003b8_1420629.jpg,,,,500,700,$,"Band,  Ink on paper, 27X34 cm.  Signed.",,  Signed,Band,  Ink on paper,27,34,cm
c3e2e878-8b8c-4f04-a65d-2e136ebf3222,Sionah Tagger,https://www.tiroche.co.il/auction/auction-144-eng/lot-663-14/,https://www.tiroche.co.il/wp-content/uploads/2021/04/607ecdfa995cf_1440663.jpg,,,,800,1200,$,"Flowers 1983,  Watercolor on paper, 52X36 cm,  Signed and dated.",1983,,Flowers 1983  Watercolor on paper, 52X36 cm,,,
72fedc65-f7cf-4552-9255-dff978d0245d,Sionah Tagger,https://www.tiroche.co.il/auction/auction-144-eng/lot-52-16/,https://www.tiroche.co.il/wp-content/uploads/2021/04/607ecb2020b17_1440052.jpg,,,,12000,15000,$,"Ships at Port, 1930s,  Oil on wood, 38X50 cm.  Signed.    Accompanied by a certificate of authenticity signed by Abraham Katz-Oz, the son of the artist.  ",,  ,Ships at Port 1930s  Oil on wood, 38X50 cm.  Signed.    Accompanied by a certificate of authenticity signed by Abraham Katz-Oz,,,
1b461162-598d-494d-8981-e11ae84c4257,Sionah Tagger,https://www.tiroche.co.il/auction/auction-144-eng/lot-739-12/,https://www.tiroche.co.il/wp-content/uploads/2021/04/607ece1c22512_1440739.jpg,,,,,700500,$,"Figure in a Galilee Landscape,  Watercolor on paper, 35X50 cm.  Signed.",,  Signed,Figure in a Galilee Landscape,  Watercolor on paper,35,50,cm
f3d59465-df60-432f-a7e8-85e4b9de7a0e,Sionah Tagger ,https://www.tiroche.co.il/auction/auction-136-eng/lot-55-32/,https://www.tiroche.co.il/wp-content/uploads/2021/04/607f003e1e7dd_1360055.jpg,,,,1000,1500,$,"1900 – 1988  Olive Harvest,  Watercolor on paper, 34X49 cm.  Signed.    Exhibition: Sionah Tagger Retrospective, The Open Museum, Tefen, 1990.  Provenance:  Estate of the artist.   ",1900,   ,1900 – 1988  Olive Harvest  Watercolor on paper 34X49 cm.  Signed.    Exhibition: Sionah Tagger Retrospective The Open Museum, Tefen,,,
68c35bda-daa8-42b1-a3c7-b7865a2add58,Sionah Tagger,https://www.tiroche.co.il/auction/auction-142-eng/lot-112-22/,https://www.tiroche.co.il/wp-content/uploads/2021/04/607ed4f5c5860_1420112.jpg,,,,2000,3000,$,"The Market,  Oil on canvas, 33X41 cm.  Signed.    Provenance: Gaby and Ami Brown collection.  ",,  ,The Market,  Oil on canvas,33,41..,cmSignedProvenanceGabyandAmiBrowncollection
b7a4f50e-26f5-4b8b-84c8-dcaa61bf6702,Sionah Tagger,https://www.tiroche.co.il/auction/auction-148-eng/lot-304-10/,https://www.tiroche.co.il/wp-content/uploads/2021/04/607ebb2fd2d99_1480304.jpg,,,,3000,5000,$,"Flower and Pomegranates, 1979,  Oil on canvas, 65X50 cm.  Signed. Dated on the reverse.    The authenticity of the painting has been confirmed by Mr. Avraham Katz-Oz, the artist’s son.  ",1979,  ,Flower and Pomegranates 1979  Oil on canvas, 65X50 cm.  Signed. Dated on the reverse.    The authenticity of the painting has been confirmed by Mr. Avraham Katz-Oz,,,
b84ec1e4-3d5d-48c7-a3d3-ddb6d9023ac7,Sionah Tagger ,https://www.tiroche.co.il/auction/auction-138-eng/lot-78-30/,https://www.tiroche.co.il/wp-content/uploads/2021/04/607eeff78304a_1380078.jpg,,,,,100007000,$,"  1900 – 1988  Beit Sabba Passegeway,  Oil on canvas, 72X53 cm.  Signed.   ",1900,   ,  1900 – 1988  Beit Sabba Passegeway,  Oil on canvas,72,53.,cmSigned
ca5d26aa-c205-465a-b43c-1b0cf6db162c,Sionah Tagger,https://www.tiroche.co.il/auction/auction-144-eng/lot-715-12/,https://www.tiroche.co.il/wp-content/uploads/2021/04/607ece29b5d16_1440715.jpg,,,,,400300,$,"Jaffa Port, 1936,  Watercolor on paper, 20X26 cm.  Signed and dated.",1936,  Signed and dated,Jaffa Port 1936,  Watercolor on paper,20,26,cm
